Student ID,Course Type,Assignments Score (%),Lab Completion (%),Project-Based Learning Score (%),Innovation Index (0-100),Entrepreneurship Engagement (0-100),AI Classification Label,Startup Participation,Industry Collaboration (Hours),AI-Powered Recommendation
S101,Hybrid,59,52,87,49,35,Low Performer,Yes,55,Basic Embedded Systems
S102,Hardware,68,80,83,91,68,Low Performer,No,50,Basic Embedded Systems
S103,Hybrid,81,89,61,61,76,Low Performer,No,25,Basic Embedded Systems
S104,Hybrid,50,86,68,83,92,Low Performer,Yes,48,Basic Embedded Systems
S105,Hardware,54,85,86,61,30,Low Performer,Yes,15,Basic Embedded Systems
S106,Hardware,94,73,93,6,46,Moderate Performer,No,72,RTOS & Kernel Programming
S107,Hybrid,53,80,98,74,54,Low Performer,No,5,Basic Embedded Systems
S108,Software,65,55,66,83,79,Low Performer,No,67,Basic Embedded Systems
S109,Hybrid,73,51,59,79,61,Low Performer,No,28,Basic Embedded Systems
S110,Hybrid,65,69,98,3,29,Low Performer,No,17,Basic Embedded Systems
S111,Hybrid,51,77,96,5,54,Low Performer,No,15,Basic Embedded Systems
S112,Hybrid,98,60,61,57,15,Low Performer,No,55,Basic Embedded Systems
S113,Hardware,77,53,65,21,11,Low Performer,No,21,Basic Embedded Systems
S114,Hybrid,81,64,73,25,16,Low Performer,Yes,28,Basic Embedded Systems
S115,Software,76,55,68,2,15,Low Performer,No,23,Basic Embedded Systems
S116,Hardware,69,98,57,40,11,Low Performer,No,41,Basic Embedded Systems
S117,Software,73,79,80,59,7,Moderate Performer,No,12,RTOS & Kernel Programming
S118,Software,61,87,70,13,83,Low Performer,No,32,Basic Embedded Systems
S119,Software,99,51,66,74,2,Low Performer,No,9,Basic Embedded Systems
S120,Software,84,64,72,81,15,Low Performer,Yes,21,Basic Embedded Systems
S121,Hardware,82,60,86,11,29,Low Performer,No,40,Basic Embedded Systems
S122,Hardware,82,57,65,86,22,Low Performer,No,23,Basic Embedded Systems
S123,Software,92,75,55,11,91,Low Performer,Yes,68,Basic Embedded Systems
S124,Software,86,94,57,12,4,Low Performer,Yes,15,Basic Embedded Systems
S125,Hardware,61,93,74,24,83,Low Performer,No,58,Basic Embedded Systems
S126,Hardware,52,54,67,44,64,Low Performer,Yes,49,Basic Embedded Systems
S127,Hardware,50,55,74,18,29,Low Performer,No,51,Basic Embedded Systems
S128,Hybrid,82,75,61,54,20,Low Performer,Yes,16,Basic Embedded Systems
S129,Hybrid,89,53,64,99,83,Low Performer,No,25,Basic Embedded Systems
S130,Hybrid,59,68,75,44,69,Low Performer,Yes,15,Basic Embedded Systems
S131,Software,92,69,90,7,21,Low Performer,No,9,Basic Embedded Systems
S132,Hybrid,93,82,94,92,81,Moderate Performer,No,60,RTOS & Kernel Programming
S133,Software,78,69,75,52,71,Low Performer,No,24,Basic Embedded Systems
S134,Software,62,98,96,54,31,Low Performer,Yes,45,Basic Embedded Systems
S135,Hybrid,61,61,81,31,32,Low Performer,No,50,Basic Embedded Systems
S136,Software,80,96,59,50,15,Low Performer,No,16,Basic Embedded Systems
S137,Hybrid,95,50,65,43,75,Low Performer,No,74,Basic Embedded Systems
S138,Hybrid,51,75,56,81,37,Low Performer,Yes,21,Basic Embedded Systems
S139,Hardware,99,63,66,69,97,Low Performer,Yes,23,Basic Embedded Systems
